chunk_size,ratio,arm,rep,touches,bytes_touched,wall_ns,absent_handled,evictions,infeasible,prefetches,pager_bytes_fetched,io_read_bytes_delta,dedup_resident,dedup_fetching,pin_broken,censored,exit_code
67108864,0.5,A,2,160,10737418240,37905556,n/a,n/a,n/a,n/a,n/a,0,n/a,n/a,n/a,0,0
67108864,0.5,A,3,160,10737418240,46012885,n/a,n/a,n/a,n/a,n/a,0,n/a,n/a,n/a,0,0
67108864,0.5,C,1,160,10737418240,7455418393,160,144,0,0,10737418240,10737418240,160,200,0,0,0
67108864,0.5,C,2,160,10737418240,6920101775,160,144,0,0,10737418240,10737418240,160,202,0,0,0
67108864,0.5,C,3,160,10737418240,7052540599,160,144,0,0,10737418240,10737418240,160,180,0,0,0
67108864,0.5,D,1,160,10737418240,6258373486,151,135,0,0,10133438464,10133438464,107,231,0,0,0
67108864,0.5,D,2,160,10737418240,5970653813,155,139,0,0,10401873920,10401873920,114,238,0,0,0
67108864,0.5,D,3,160,10737418240,6132664448,155,139,0,0,10401873920,10401873920,118,236,0,0,0
67108864,0.5,E,1,160,10737418240,5627533857,101,141,0,56,10536091648,10536091648,105,162,0,0,0
67108864,0.5,E,2,160,10737418240,5199346153,106,137,0,47,10267656192,10267656192,93,189,0,0,0
67108864,0.5,E,3,160,10737418240,5026449920,92,129,0,53,9730785280,9730785280,95,156,0,0,0
67108864,0.75,A,1,160,10737418240,3215821635,n/a,n/a,n/a,n/a,n/a,0,n/a,n/a,n/a,0,0
67108864,0.75,A,2,160,10737418240,41931567,n/a,n/a,n/a,n/a,n/a,0,n/a,n/a,n/a,0,0
67108864,0.75,A,3,160,10737418240,40909998,n/a,n/a,n/a,n/a,n/a,0,n/a,n/a,n/a,0,0
67108864,0.75,C,1,160,10737418240,8978761239,160,136,0,0,10737418240,10737418240,160,163,0,0,0
67108864,0.75,C,2,160,10737418240,7335457225,160,136,0,0,10737418240,10737418240,160,142,0,0,0
67108864,0.75,C,3,160,10737418240,7383903576,160,136,0,0,10737418240,10737418240,159,164,0,0,0
67108864,0.75,D,1,160,10737418240,4314923420,96,72,0,0,6442450944,6442450944,81,146,0,0,0
67108864,0.75,D,2,160,10737418240,4596666852,95,71,0,0,6375342080,6375342080,82,151,0,0,0
67108864,0.75,D,3,160,10737418240,4745271944,94,70,0,0,6308233216,6308233216,81,148,0,0,0
67108864,0.75,E,1,160,10737418240,3886906958,66,70,0,28,6308233216,6308233216,75,93,0,0,0
67108864,0.75,E,2,160,10737418240,3798635023,62,66,0,28,6039797760,6039797760,64,98,0,0,0
67108864,0.75,E,3,160,10737418240,3907549174,71,73,0,26,6509559808,6509559808,77,103,0,0,0
134217728,0.25,A,1,80,10737418240,7498565158,n/a,n/a,n/a,n/a,n/a,0,n/a,n/a,n/a,0,0
134217728,0.25,A,2,80,10737418240,37423668,n/a,n/a,n/a,n/a,n/a,0,n/a,n/a,n/a,0,0
134217728,0.25,A,3,80,10737418240,35505586,n/a,n/a,n/a,n/a,n/a,0,n/a,n/a,n/a,0,0
134217728,0.25,C,1,80,10737418240,6489841073,80,76,0,0,10737418240,10737418240,80,66,0,0,0
134217728,0.25,C,2,80,10737418240,6436272489,80,76,0,0,10737418240,10737418240,80,52,0,0,0
134217728,0.25,C,3,80,10737418240,7270745586,80,76,0,0,10737418240,10737418240,80,34,0,0,0
134217728,0.25,D,1,80,10737418240,7559885954,100,96,0,0,13421772800,13421772800,73,144,0,0,0
134217728,0.25,D,2,80,10737418240,6981115180,97,93,0,0,13019119616,13019119616,76,122,0,0,0
134217728,0.25,D,3,80,10737418240,7145147253,100,96,0,0,13421772800,13421772800,69,174,0,0,0
134217728,0.25,E,1,80,10737418240,7714352736,81,127,0,50,17582522368,17582522368,49,192,17,0,0
134217728,0.25,E,2,80,10737418240,7007075471,74,114,0,44,15837691904,15837691904,46,166,8,0,0
134217728,0.25,E,3,80,10737418240,7502205574,81,125,0,48,17314086912,17314086912,43,204,11,0,0
134217728,0.5,A,1,80,10737418240,195865204,n/a,n/a,n/a,n/a,n/a,0,n/a,n/a,n/a,0,0
134217728,0.5,A,2,80,10737418240,35840020,n/a,n/a,n/a,n/a,n/a,0,n/a,n/a,n/a,0,0
134217728,0.5,A,3,80,10737418240,35485498,n/a,n/a,n/a,n/a,n/a,0,n/a,n/a,n/a,0,0
134217728,0.5,C,1,80,10737418240,6907643362,80,72,0,0,10737418240,10737418240,79,52,0,0,0
134217728,0.5,C,2,80,10737418240,6398369636,80,72,0,0,10737418240,10737418240,79,51,0,0,0
134217728,0.5,C,3,80,10737418240,6821494379,80,72,0,0,10737418240,10737418240,80,44,0,0,0
134217728,0.5,D,1,80,10737418240,6324079278,81,73,0,0,10871635968,10871635968,61,115,0,0,0
134217728,0.5,D,2,80,10737418240,6070612765,79,71,0,0,10603200512,10603200512,61,96,0,0,0
134217728,0.5,D,3,80,10737418240,7048417452,82,74,0,0,11005853696,11005853696,59,113,0,0,0
134217728,0.5,E,1,80,10737418240,6046480502,57,82,0,33,12079595520,12079595520,52,88,0,0,0
134217728,0.5,E,2,80,10737418240,6202876650,64,83,0,27,12213813248,12213813248,49,111,0,0,0
134217728,0.5,E,3,80,10737418240,5915499661,52,73,0,29,10871635968,10871635968,49,83,0,0,0
134217728,0.75,A,1,80,10737418240,10804747833,n/a,n/a,n/a,n/a,n/a,0,n/a,n/a,n/a,0,0
134217728,0.75,A,2,80,10737418240,39166123,n/a,n/a,n/a,n/a,n/a,0,n/a,n/a,n/a,0,0
134217728,0.75,A,3,80,10737418240,41793792,n/a,n/a,n/a,n/a,n/a,0,n/a,n/a,n/a,0,0
134217728,0.75,C,1,80,10737418240,11256713020,80,68,0,0,10737418240,10737418240,79,40,0,0,0
134217728,0.75,C,2,80,10737418240,8241576229,80,68,0,0,10737418240,10737418240,80,20,0,0,0
134217728,0.75,C,3,80,10737418240,7584982748,80,68,0,0,10737418240,10737418240,79,36,0,0,0
134217728,0.75,D,1,80,10737418240,5083111930,57,45,0,0,7650410496,7650410496,48,68,0,0,0
134217728,0.75,D,2,80,10737418240,4910519655,56,44,0,0,7516192768,7516192768,45,54,0,0,0
134217728,0.75,D,3,80,10737418240,4960421899,56,44,0,0,7516192768,7516192768,45,65,0,0,0
134217728,0.75,E,1,80,10737418240,4646086044,41,46,0,17,7784628224,7784628224,43,40,0,0,0
134217728,0.75,E,2,80,10737418240,4352550633,36,35,0,11,6308233216,6308233216,39,32,0,0,0
134217728,0.75,E,3,80,10737418240,4172585137,36,35,0,11,6308233216,6308233216,37,39,0,0,0
268435456,0.25,A,1,40,10737418240,8336213812,n/a,n/a,n/a,n/a,n/a,0,n/a,n/a,n/a,0,0
268435456,0.25,A,2,40,10737418240,38646322,n/a,n/a,n/a,n/a,n/a,0,n/a,n/a,n/a,0,0
268435456,0.25,A,3,40,10737418240,37139172,n/a,n/a,n/a,n/a,n/a,0,n/a,n/a,n/a,0,0
268435456,0.25,C,1,40,10737418240,6545983719,40,38,0,0,10737418240,10737418240,40,5,0,0,0
268435456,0.25,C,2,40,10737418240,6197282670,40,38,0,0,10737418240,10737418240,40,2,0,0,0
268435456,0.25,C,3,40,10737418240,5973820639,40,38,0,0,10737418240,10737418240,39,9,0,0,0
268435456,0.25,D,1,40,10737418240,7978234445,64,62,0,0,17179869184,17179869184,41,105,0,0,0
268435456,0.25,D,2,40,10737418240,7938689408,60,58,0,0,16106127360,16106127360,38,85,0,0,0
268435456,0.25,D,3,40,10737418240,7853768471,62,60,0,0,16642998272,16642998272,38,103,0,0,0
268435456,0.25,E,1,40,10737418240,15420221325,101,150,1674,51,40802189312,40802189312,18,282,47,0,0
268435456,0.25,E,2,40,10737418240,14589371058,99,149,1893,52,40533753856,40533753856,25,279,51,0,0
268435456,0.25,E,3,40,10737418240,14784250305,102,144,1129,44,39191576576,39191576576,27,273,41,0,0
268435456,0.5,A,1,40,10737418240,405473917,n/a,n/a,n/a,n/a,n/a,0,n/a,n/a,n/a,0,0
268435456,0.5,A,2,40,10737418240,36806949,n/a,n/a,n/a,n/a,n/a,0,n/a,n/a,n/a,0,0
268435456,0.5,A,3,40,10737418240,36584758,n/a,n/a,n/a,n/a,n/a,0,n/a,n/a,n/a,0,0
268435456,0.5,C,1,40,10737418240,6158085730,40,36,0,0,10737418240,10737418240,40,4,0,0,0
268435456,0.5,C,2,40,10737418240,6067437921,40,36,0,0,10737418240,10737418240,39,11,0,0,0
268435456,0.5,C,3,40,10737418240,5800628120,40,36,0,0,10737418240,10737418240,39,9,0,0,0
268435456,0.5,D,1,40,10737418240,6246393739,50,46,0,0,13421772800,13421772800,31,70,0,0,0
268435456,0.5,D,2,40,10737418240,6515940532,49,45,0,0,13153337344,13153337344,30,69,0,0,0
268435456,0.5,D,3,40,10737418240,6437550051,48,44,0,0,12884901888,12884901888,33,57,0,0,0
268435456,0.5,E,1,40,10737418240,5894022161,37,47,0,14,13690208256,13690208256,20,76,0,0,0
268435456,0.5,E,2,40,10737418240,6392015523,36,48,0,16,13958643712,13958643712,17,86,1,0,0
268435456,0.5,E,3,40,10737418240,6385121366,39,51,0,16,14763950080,14763950080,19,89,0,0,0
268435456,0.75,A,1,40,10737418240,154542308,n/a,n/a,n/a,n/a,n/a,0,n/a,n/a,n/a,0,0
268435456,0.75,A,2,40,10737418240,36593411,n/a,n/a,n/a,n/a,n/a,0,n/a,n/a,n/a,0,0
268435456,0.75,A,3,40,10737418240,36111890,n/a,n/a,n/a,n/a,n/a,0,n/a,n/a,n/a,0,0
268435456,0.75,C,1,40,10737418240,7101787178,40,34,0,0,10737418240,10737418240,39,8,0,0,0
268435456,0.75,C,2,40,10737418240,6560545304,40,34,0,0,10737418240,10737418240,39,8,0,0,0
268435456,0.75,C,3,40,10737418240,5928816288,40,34,0,0,10737418240,10737418240,39,9,0,0,0
268435456,0.75,D,1,40,10737418240,4893133992,32,26,0,0,8589934592,8589934592,27,19,0,0,0
268435456,0.75,D,2,40,10737418240,4804581822,28,22,0,0,7516192768,7516192768,26,21,0,0,0
268435456,0.75,D,3,40,10737418240,4469159085,30,24,0,0,8053063680,8053063680,25,24,0,0,0
268435456,0.75,E,1,40,10737418240,4682220760,27,26,0,5,8589934592,8589934592,21,33,0,0,0
268435456,0.75,E,2,40,10737418240,4921038114,27,26,0,5,8589934592,8589934592,24,21,0,0,0
268435456,0.75,E,3,40,10737418240,4221950013,26,25,0,5,8321499136,8321499136,23,16,0,0,0
