ratio,window,threads,handler,rep,touches,bytes_touched,wall_ns,absent_handled,evictions,infeasible,dedup_resident,dedup_fetching,pager_bytes_fetched,io_read_bytes_delta,censored,exit_code
0.5,1,8,sync,2,80,10737418240,3616443142,58,50,0,0,0,7784628224,7784628224,0,0
0.5,1,8,sync,3,80,10737418240,3663796736,59,51,0,0,0,7918845952,7918845952,0,0
0.5,1,8,async,1,80,10737418240,3633354131,57,49,0,56,116,7650410496,7650410496,0,0
0.5,1,8,async,2,80,10737418240,3668949407,57,49,0,57,120,7650410496,7650410496,0,0
0.5,1,8,async,3,80,10737418240,3669459288,57,49,0,57,111,7650410496,7650410496,0,0
0.5,2,1,sync,1,80,10737418240,3574146655,57,49,0,0,0,7650410496,7650410496,0,0
0.5,2,1,sync,2,80,10737418240,3689325585,57,49,0,0,0,7650410496,7650410496,0,0
0.5,2,1,sync,3,80,10737418240,3671771938,57,49,0,0,0,7650410496,7650410496,0,0
0.5,2,1,async,1,80,10737418240,3662982045,57,49,0,0,0,7650410496,7650410496,0,0
0.5,2,1,async,2,80,10737418240,3639830450,57,49,0,0,0,7650410496,7650410496,0,0
0.5,2,1,async,3,80,10737418240,3605598633,57,49,0,0,0,7650410496,7650410496,0,0
0.5,2,8,sync,1,80,10737418240,4075816347,66,58,0,0,0,8858370048,8858370048,0,0
0.5,2,8,sync,2,80,10737418240,4047580417,65,57,0,0,0,8724152320,8724152320,0,0
0.5,2,8,sync,3,80,10737418240,3983930134,65,57,0,0,0,8724152320,8724152320,0,0
0.5,2,8,async,1,80,10737418240,3931034081,66,58,0,55,88,8858370048,8858370048,0,0
0.5,2,8,async,2,80,10737418240,3990237779,66,58,0,55,106,8858370048,8858370048,0,0
0.5,2,8,async,3,80,10737418240,3863409117,64,56,0,58,125,8589934592,8589934592,0,0
0.75,0,1,sync,1,80,10737418240,2838598683,41,29,0,0,0,5502926848,5502926848,0,0
0.75,0,1,sync,2,80,10737418240,2559558490,41,29,0,0,0,5502926848,5502926848,0,0
0.75,0,1,sync,3,80,10737418240,2760993899,41,29,0,0,0,5502926848,5502926848,0,0
0.75,0,1,async,1,80,10737418240,2517587266,41,29,0,0,0,5502926848,5502926848,0,0
0.75,0,1,async,2,80,10737418240,2680892434,41,29,0,0,0,5502926848,5502926848,0,0
0.75,0,1,async,3,80,10737418240,2572828643,41,29,0,0,0,5502926848,5502926848,0,0
0.75,0,8,sync,1,80,10737418240,2543323741,41,29,0,0,0,5502926848,5502926848,0,0
0.75,0,8,sync,2,80,10737418240,2945586904,41,29,0,0,0,5502926848,5502926848,0,0
0.75,0,8,sync,3,80,10737418240,2556116952,41,29,0,0,0,5502926848,5502926848,0,0
0.75,0,8,async,1,80,10737418240,2820964515,41,29,0,17,246,5502926848,5502926848,0,0
0.75,0,8,async,2,80,10737418240,2582367672,41,29,0,25,216,5502926848,5502926848,0,0
0.75,0,8,async,3,80,10737418240,2817579547,41,29,0,24,208,5502926848,5502926848,0,0
0.75,1,1,sync,1,80,10737418240,2561807144,41,29,0,0,0,5502926848,5502926848,0,0
0.75,1,1,sync,2,80,10737418240,2995626134,41,29,0,0,0,5502926848,5502926848,0,0
0.75,1,1,sync,3,80,10737418240,2632865047,41,29,0,0,0,5502926848,5502926848,0,0
0.75,1,1,async,1,80,10737418240,5100480641,41,29,0,0,0,5502926848,5502926848,0,0
0.75,1,1,async,2,80,10737418240,2607582878,41,29,0,0,0,5502926848,5502926848,0,0
0.75,1,1,async,3,80,10737418240,3085361418,41,29,0,0,0,5502926848,5502926848,0,0
0.75,1,8,sync,1,80,10737418240,2835081732,43,31,0,0,0,5771362304,5771362304,0,0
0.75,1,8,sync,2,80,10737418240,2708705246,41,29,0,0,0,5502926848,5502926848,0,0
0.75,1,8,sync,3,80,10737418240,2492805490,41,29,0,0,0,5502926848,5502926848,0,0
0.75,1,8,async,1,80,10737418240,4290781835,41,29,0,40,74,5502926848,5502930944,0,0
0.75,1,8,async,2,80,10737418240,2597629153,41,29,0,40,100,5502926848,5502926848,0,0
0.75,1,8,async,3,80,10737418240,2550678590,41,29,0,41,85,5502926848,5502926848,0,0
