chunk_size,ratio,arm,policy,compute,rep,touches,bytes_touched,wall_ns,absent_handled,evictions,infeasible,prefetches,pager_bytes_fetched,io_read_bytes_delta,dedup_resident,dedup_fetching,pin_broken,rc
8388608,0.5,E,layer_order_declared,0,2,1280,10737418240,2951947999,266,640,0,502,6442450944,6442450944,693,1133,0,0
8388608,0.5,E,layer_order_declared,0,3,1280,10737418240,2903000778,262,640,0,506,6442450944,6442450944,717,1155,0,0
8388608,0.5,C,lru,400000,1,1280,10737418240,6627819879,1280,1152,0,0,10737418240,10737418240,1280,1294,0,0
8388608,0.5,C,lru,400000,2,1280,10737418240,6681284249,1280,1152,0,0,10737418240,10737418240,1278,1500,0,0
8388608,0.5,C,lru,400000,3,1280,10737418240,6660076419,1280,1152,0,0,10737418240,10737418240,1277,1464,0,0
8388608,0.5,D,layer_order_learned,400000,1,1280,10737418240,5647337739,1079,951,0,0,9051308032,9051308032,902,1461,0,0
8388608,0.5,D,layer_order_learned,400000,2,1280,10737418240,5742468827,1075,947,0,0,9017753600,9017753600,893,1445,0,0
8388608,0.5,D,layer_order_learned,400000,3,1280,10737418240,5717900275,1082,954,0,0,9076473856,9076473856,902,1571,0,0
8388608,0.5,D,layer_order_declared,400000,1,1280,10737418240,4486475722,768,640,0,0,6442450944,6442450944,768,839,0,0
8388608,0.5,D,layer_order_declared,400000,2,1280,10737418240,4324711582,768,640,0,0,6442450944,6442450944,767,863,0,0
8388608,0.5,D,layer_order_declared,400000,3,1280,10737418240,4558564836,768,640,0,0,6442450944,6442450944,767,999,0,0
8388608,0.5,E,layer_order_learned,400000,1,1280,10737418240,4038320484,526,756,0,358,7415529472,7415529472,708,751,0,0
8388608,0.5,E,layer_order_learned,400000,2,1280,10737418240,4476996918,573,843,0,398,8145338368,8145338368,740,949,0,0
8388608,0.5,E,layer_order_learned,400000,3,1280,10737418240,4176797196,514,745,0,359,7323254784,7323254784,695,838,0,0
8388608,0.5,E,layer_order_declared,400000,1,1280,10737418240,3465533897,262,640,0,506,6442450944,6442450944,731,345,0,0
8388608,0.5,E,layer_order_declared,400000,2,1280,10737418240,3596906922,262,640,0,506,6442450944,6442450944,734,330,0,0
8388608,0.5,E,layer_order_declared,400000,3,1280,10737418240,3591674871,262,640,0,506,6442450944,6442450944,733,303,0,0
8388608,0.75,C,lru,0,1,1280,10737418240,5671370243,1280,1088,0,0,10737418240,10737418240,1196,5466,0,0
8388608,0.75,C,lru,0,2,1280,10737418240,5669393230,1280,1088,0,0,10737418240,10737418240,1183,5538,0,0
8388608,0.75,C,lru,0,3,1280,10737418240,5691219002,1280,1088,0,0,10737418240,10737418240,1201,5477,0,0
