chunk_size,ratio,budget_bytes,capacity_chunks,opt_misses,opt_bytes
8388608,0.25,536870912,64,1024,8589934592
8388608,0.5,1073741824,128,768,6442450944
8388608,0.75,1610612736,192,512,4294967296
134217728,0.25,536870912,4,65,8724152320
134217728,0.5,1073741824,8,48,6442450944
134217728,0.75,1610612736,12,32,4294967296
