chunk_size,ratio,arm,policy,compute,rep,touches,bytes_touched,wall_ns,absent_handled,evictions,infeasible,prefetches,pager_bytes_fetched,io_read_bytes_delta,dedup_resident,dedup_fetching,pin_broken,rc
8388608,0.25,C,lru,0,1,1280,10737418240,5709207873,1280,1216,0,0,10737418240,10737418240,1204,5387,0,0
8388608,0.25,C,lru,0,2,1280,10737418240,5623401712,1280,1216,0,0,10737418240,10737418240,1191,5297,0,0
8388608,0.25,C,lru,0,3,1280,10737418240,5575259503,1280,1216,0,0,10737418240,10737418240,1198,5154,0,0
8388608,0.25,D,layer_order_learned,0,1,1280,10737418240,4791018969,1095,1031,0,0,9185525760,9185525760,1021,4668,0,0
8388608,0.25,D,layer_order_learned,0,2,1280,10737418240,4846410083,1093,1029,0,0,9168748544,9168748544,1025,4470,0,0
8388608,0.25,D,layer_order_learned,0,3,1280,10737418240,4831434342,1094,1030,0,0,9177137152,9177137152,1030,4590,0,0
8388608,0.25,D,layer_order_declared,0,1,1280,10737418240,4414766445,1025,961,0,0,8598323200,8598323200,998,4267,0,0
8388608,0.25,D,layer_order_declared,0,2,1280,10737418240,4624711208,1026,962,0,0,8606711808,8606711808,986,4222,0,0
8388608,0.25,D,layer_order_declared,0,3,1280,10737418240,4500966046,1025,961,0,0,8598323200,8598323200,976,4334,0,0
8388608,0.25,E,layer_order_learned,0,1,1280,10737418240,4346717554,724,1166,0,506,10317987840,10317987840,785,2944,0,0
8388608,0.25,E,layer_order_learned,0,2,1280,10737418240,4632918883,697,1185,0,552,10477371392,10477371392,794,3029,0,0
8388608,0.25,E,layer_order_learned,0,3,1280,10737418240,4520393899,695,1175,0,544,10393485312,10393485312,804,2996,0,0
8388608,0.25,E,layer_order_declared,0,1,1280,10737418240,3914465353,461,1070,0,673,9512681472,9512681472,859,1558,0,0
8388608,0.25,E,layer_order_declared,0,2,1280,10737418240,3882596923,451,1062,0,675,9445572608,9445572608,870,1556,0,0
8388608,0.25,E,layer_order_declared,0,3,1280,10737418240,3883970976,449,1061,0,676,9437184000,9437184000,872,1484,0,0
8388608,0.25,C,lru,400000,1,1280,10737418240,6646749675,1280,1216,0,0,10737418240,10737418240,1279,1320,0,0
8388608,0.25,C,lru,400000,2,1280,10737418240,6620154794,1280,1216,0,0,10737418240,10737418240,1280,1508,0,0
8388608,0.25,C,lru,400000,3,1280,10737418240,6580911341,1280,1216,0,0,10737418240,10737418240,1279,1706,0,0
8388608,0.25,D,layer_order_learned,400000,1,1280,10737418240,6712235054,1338,1274,0,0,11223957504,11223957504,1063,1856,0,0
8388608,0.25,D,layer_order_learned,400000,2,1280,10737418240,6823584550,1360,1296,0,0,11408506880,11408506880,1069,2098,0,0
8388608,0.25,D,layer_order_learned,400000,3,1280,10737418240,6560111238,1299,1235,0,0,10896801792,10896801792,1079,1801,0,0
8388608,0.25,D,layer_order_declared,400000,1,1280,10737418240,8353440981,1902,1838,0,0,15955132416,15955132416,686,4254,0,0
8388608,0.25,D,layer_order_declared,400000,2,1280,10737418240,8950545602,1949,1885,0,0,16349396992,16349396992,758,3824,0,0
8388608,0.25,D,layer_order_declared,400000,3,1280,10737418240,8804903058,1963,1899,0,0,16466837504,16466837504,768,3686,0,0
8388608,0.25,E,layer_order_learned,400000,1,1280,10737418240,5438880383,757,1254,0,561,11056185344,11056185344,807,1589,0,0
8388608,0.25,E,layer_order_learned,400000,2,1280,10737418240,5685894204,803,1330,0,591,11693719552,11693719552,815,1782,0,0
8388608,0.25,E,layer_order_learned,400000,3,1280,10737418240,5237616595,743,1232,0,553,10871635968,10871635968,827,1406,0,0
8388608,0.25,E,layer_order_declared,400000,1,1280,10737418240,5077420154,658,1272,0,678,11207180288,11207180288,421,1201,0,0
8388608,0.25,E,layer_order_declared,400000,2,1280,10737418240,5330817700,667,1281,0,678,11282677760,11282677760,402,1037,0,0
8388608,0.25,E,layer_order_declared,400000,3,1280,10737418240,5249035760,664,1278,0,678,11257511936,11257511936,407,918,0,0
