ratio,arm,policy,prefetch,rep,B_bytes,budget_bytes,memory_max,n_prompt,n_decoded,load_s,ttft_ms,p99_inter_ms,wall_s,tokens_s,io_gen_bytes,pager_bytes_fetched,absent_handled,evictions,prefetches,infeasible,pin_broken,dedup_fetching,prefetch_declined,fetching_timeout,resident_end,memory_peak,protect_current,signal_mode,rc
0.5,E,layer_order_declared,on,3,1052467200,1052467200,1186684928,16,64,0.187,937.01,697.366,35.117,1.822,84458864640,84459032576,766,1771,1021,0,0,385,0,0,1030172672,1160724480,off,pre,0
0.625,C,lru,off,1,1315584000,1315584000,1449801728,16,64,0.179,1355.19,1056.245,64.512,0.992,134509412352,134509674496,2561,2539,0,0,0,476,0,0,1295319040,1421283328,off,pre,0
0.625,D,layer_order_declared,off,1,1315584000,1315584000,1449801728,16,64,0.189,1252.60,508.051,29.654,2.158,59658723328,59658858496,1300,1278,0,0,0,473,0,0,1313972224,1421864960,off,pre,0
0.625,E,layer_order_declared,on,1,1315584000,1315584000,1449801728,16,64,0.183,959.89,484.628,27.373,2.338,62652121088,62652260352,653,1310,677,0,0,266,0,0,1270571008,1422790656,off,pre,0
0.625,C,lru,off,2,1315584000,1315584000,1449801728,16,64,0.206,1375.93,1137.781,64.875,0.987,134509412352,134509674496,2561,2539,0,0,0,476,0,0,1295319040,1420423168,off,pre,0
0.625,D,layer_order_declared,off,2,1315584000,1315584000,1449801728,16,64,0.183,1216.49,492.473,29.241,2.189,59658723328,59658858496,1300,1278,0,0,0,474,0,0,1313972224,1421795328,off,pre,0
0.625,E,layer_order_declared,on,2,1315584000,1315584000,1449801728,16,64,0.191,982.83,474.444,27.462,2.331,62873337856,62922817536,629,1309,701,0,0,287,0,0,1301389312,1422004224,off,pre,0
0.625,C,lru,off,3,1315584000,1315584000,1449801728,16,64,0.187,1353.74,1034.881,63.402,1.009,134509412352,134509674496,2561,2539,0,0,0,476,0,0,1295319040,1421271040,off,pre,0
0.625,D,layer_order_declared,off,3,1315584000,1315584000,1449801728,16,64,0.184,1262.90,506.231,29.498,2.170,59658723328,59658858496,1300,1278,0,0,0,458,0,0,1313972224,1422614528,off,pre,0
0.625,E,layer_order_declared,on,3,1315584000,1315584000,1449801728,16,64,0.177,898.56,513.168,27.243,2.349,62851637248,62851776512,675,1313,658,0,0,245,0,0,1276788736,1423302656,off,pre,0
0.75,C,lru,off,1,1578700800,1578700800,1712918528,16,64,0.181,1402.17,1197.323,65.745,0.973,134509412352,134509674496,2561,2533,0,0,0,471,0,0,1542615040,1682575360,off,pre,0
0.75,D,layer_order_declared,off,1,1578700800,1578700800,1712918528,16,64,0.191,1319.26,407.634,22.477,2.847,41937813504,41937915904,915,887,0,0,0,359,0,0,1573572608,1686224896,off,pre,0
0.75,E,layer_order_declared,on,1,1578700800,1578700800,1712918528,16,64,0.194,1016.68,384.092,20.786,3.079,43125473280,43125579776,495,890,422,0,0,182,0,0,1560592384,1684873216,off,pre,0
0.75,C,lru,off,2,1578700800,1578700800,1712918528,16,64,0.221,1426.94,1157.266,67.245,0.952,134509412352,134509674496,2561,2533,0,0,0,476,0,0,1542615040,1682731008,off,pre,0
0.75,D,layer_order_declared,off,2,1578700800,1578700800,1712918528,16,64,0.189,1351.44,451.556,22.793,2.808,41937813504,41937915904,915,887,0,0,0,356,0,0,1573572608,1686835200,off,pre,0
0.75,E,layer_order_declared,on,2,1578700800,1578700800,1712918528,16,64,0.189,1039.80,414.597,21.041,3.042,43350745088,43350843392,485,897,438,0,0,175,0,0,1548820480,1687085056,off,pre,0
0.75,C,lru,off,3,1578700800,1578700800,1712918528,16,64,0.186,1362.79,1155.344,66.171,0.967,134509412352,134509674496,2561,2533,0,0,0,476,0,0,1542615040,1682464768,off,pre,0
0.75,D,layer_order_declared,off,3,1578700800,1578700800,1712918528,16,64,0.218,1390.71,408.966,22.236,2.878,41937813504,41937915904,915,887,0,0,0,371,0,0,1573572608,1686048768,off,pre,0
0.75,E,layer_order_declared,on,3,1578700800,1578700800,1712918528,16,64,0.235,1000.47,403.077,20.913,3.060,43429330944,43429429248,489,900,437,0,0,161,0,0,1542873088,1686507520,off,pre,0
