extension,count,total_bytes
spec,2,5505
gitignore,18,5074
BSD,4,5065
ejs,2,4936
cpp/build/tools/ui/ui-src/node_modules/rw/test/run-tests,1,4899
php,1,4613
bnf,7,4416
cpp/build/tools/ui/ui-src/node_modules/pdfjs-dist/standard_fonts/LICENSE_LIBERATION,1,4414
cpp/build/tools/ui/ui-src/node_modules/katex/src/fonts/Makefile,1,4177
gbnf,8,4121
kts,4,4066
cpp/build/tools/ui/ui-src/node_modules/jsesc/bin/jsesc,1,3833
MD,1,3779
js/LICENSE,3,3707
cpp/build/tools/ui/ui-src/node_modules/he/bin/he,1,3626
cpp/build/tools/ui/ui-src/node_modules/import-meta-resolve/license,1,3493
cfg,14,3488
cpp/build/tools/ui/ui-src/node_modules/consola/LICENSE,1,3366
cpp/build/tools/ui/ui-src/node_modules/pathe/LICENSE,1,3355
mdx,2,3266
cpp/build/tools/ui/ui-src/node_modules/@lucide/svelte/LICENSE,1,3208
cpp/build/tools/ui/ui-src/node_modules/cssesc/bin/cssesc,1,3103
bin/semver,7,2723
applescript,1,2690
pyc,1,2676
cpp/build/tools/ui/ui-src/node_modules/prettier-plugin-tailwindcss/dist/licenses/prettier-plugin-astro/LICENSE,1,2348
cpp/build/tools/ui/ui-src/node_modules/recast/example/to-while,1,2240
cpp/build/tools/ui/ui-src/node_modules/pdfjs-dist/wasm/LICENSE_OPENJPEG,1,2112
cpp/build/tools/ui/ui-src/node_modules/pdfjs-dist/cmaps/LICENSE,1,2080
trace,3,2064
merge/LICENSE,1,1952
cpp/build/tools/ui/ui-src/node_modules/lodash-es/LICENSE,1,1952
sortby/LICENSE,1,1951
isplainobject/LICENSE,1,1951
debounce/LICENSE,1,1951
gypi,3,1923
properties,8,1867
pro,3,1865
cpp/build/tools/ui/ui-src/node_modules/d3-geo/LICENSE,1,1857
cpp/build/tools/ui/ui-src/node_modules/fast-uri/LICENSE,1,1813
cpp/build/tools/ui/ui-src/node_modules/regjsparser/bin/parser,1,1779
ld,1,1729
cpp/build/tools/ui/ui-src/node_modules/rw/test/encoding-sync,1,1598
cpp/build/tools/ui/ui-src/node_modules/pdfjs-dist/standard_fonts/LICENSE_FOXIT,1,1553
cpp/build/tools/ui/ui-src/node_modules/resolve/bin/resolve,1,1535
cpp/build/tools/ui/ui-src/node_modules/workbox-build/node_modules/source-map/LICENSE,1,1526
cpp/build/tools/ui/ui-src/node_modules/source-map/LICENSE,1,1526
cpp/build/tools/ui/ui-src/node_modules/source-map-js/LICENSE,1,1526
template,2,1515
cpp/build/tools/ui/ui-src/node_modules/d3-ease/LICENSE,1,1504
cpp/build/tools/ui/ui-src/node_modules/istanbul-reports/LICENSE,1,1488
cpp/build/tools/ui/ui-src/node_modules/istanbul-lib-report/LICENSE,1,1488
cpp/build/tools/ui/ui-src/node_modules/istanbul-lib-coverage/LICENSE,1,1488
cpp/build/tools/ui/ui-src/node_modules/serialize-javascript/LICENSE,1,1486
cpp/build/tools/ui/ui-src/node_modules/@trickfilm400/rollup-plugin-off-main-thread/CONTRIBUTING,1,1479
cpp/build/tools/ui/ui-src/node_modules/d3-sankey/node_modules/d3-shape/LICENSE,1,1475
cpp/build/tools/ui/ui-src/node_modules/d3-sankey/node_modules/d3-path/LICENSE,1,1475
cpp/build/tools/ui/ui-src/node_modules/d3-sankey/node_modules/d3-array/LICENSE,1,1475
cpp/build/tools/ui/ui-src/node_modules/d3-sankey/LICENSE,1,1471
cpp/build/tools/ui/ui-src/node_modules/uri-js/LICENSE,1,1452
cpp/build/tools/ui/ui-src/node_modules/rw/LICENSE,1,1429
cpp/build/tools/ui/ui-src/node_modules/es-toolkit/LICENSE,1,1424
cpp/build/tools/ui/ui-src/node_modules/d3-scale-chromatic/LICENSE,1,1423
cpp/build/tools/ui/ui-src/node_modules/url-join/bin/changelog,1,1419
cpp/build/tools/ui/ui-src/node_modules/eslint-scope/LICENSE,1,1390
cpp/build/tools/ui/ui-src/node_modules/minizlib/LICENSE,1,1339
otf,1,1332
cpp/build/tools/ui/ui-src/node_modules/espree/LICENSE,1,1322
cpp/build/tools/ui/ui-src/node_modules/jake/Makefile,1,1319
cpp/build/tools/ui/ui-src/node_modules/rw/test/encoding-async,1,1314
cpp/build/tools/ui/ui-src/node_modules/terser/LICENSE,1,1303
mk,1,1297
cpp/build/tools/ui/ui-src/node_modules/stringify-object/LICENSE,1,1297
cpp/build/tools/ui/ui-src/node_modules/pdfjs-dist/wasm/LICENSE_PDFJS_QCMS,1,1285
cpp/build/tools/ui/ui-src/node_modules/pdfjs-dist/wasm/LICENSE_PDFJS_OPENJPEG,1,1285
cpp/build/tools/ui/ui-src/node_modules/entities/LICENSE,1,1260
castarray/LICENSE,1,1256
cpp/build/tools/ui/ui-src/node_modules/express/LICENSE,1,1249
cpp/build/tools/ui/ui-src/node_modules/deep-is/LICENSE,1,1237
cpp/tools/ui/src/lib/vendors/big-integer/LICENSE,1,1234
cpp/build/tools/ui/ui-src/src/lib/vendors/big-integer/LICENSE,1,1234
cpp/build/tools/ui/ui-src/node_modules/merge-descriptors/license,1,1231
cpp/build/tools/ui/ui-src/node_modules/robust-predicates/LICENSE,1,1210
cpp/build/tools/ui/ui-src/node_modules/basic-auth/LICENSE,1,1206
cpp/build/tools/ui/ui-src/node_modules/obug/LICENSE,1,1205
cpp/build/tools/ui/ui-src/node_modules/serve-static/LICENSE,1,1189
cpp/build/tools/ui/ui-src/node_modules/@babel/helpers/LICENSE,1,1189
cpp/build/tools/ui/ui-src/node_modules/ws/LICENSE,1,1183
cpp/build/tools/ui/ui-src/node_modules/raw-body/LICENSE,1,1181
cpp/build/tools/ui/ui-src/node_modules/range-parser/LICENSE,1,1178
cpp/build/tools/ui/ui-src/node_modules/negotiator/LICENSE,1,1177
cpp/build/tools/ui/ui-src/node_modules/cookie/LICENSE,1,1175
cpp/build/tools/ui/ui-src/node_modules/fresh/LICENSE,1,1174
cpp/build/tools/ui/ui-src/node_modules/parseurl/LICENSE,1,1173
cpp/build/tools/ui/ui-src/node_modules/min-indent/license,1,1173
cpp/build/tools/ui/ui-src/node_modules/type-is/LICENSE,1,1172
cpp/build/tools/ui/ui-src/node_modules/statuses/LICENSE,1,1172
cpp/build/tools/ui/ui-src/node_modules/mime-db/LICENSE,1,1172
cpp/build/tools/ui/ui-src/node_modules/body-parser/LICENSE,1,1172
cpp/build/tools/ui/ui-src/node_modules/http-errors/LICENSE,1,1168
cpp/build/tools/ui/ui-src/node_modules/on-finished/LICENSE,1,1167
cpp/build/tools/ui/ui-src/node_modules/mode-watcher/LICENSE,1,1167
cpp/build/tools/ui/ui-src/node_modules/mime-types/LICENSE,1,1167
cpp/build/tools/ui/ui-src/node_modules/accepts/LICENSE,1,1167
cpp/build/tools/ui/ui-src/node_modules/svelte-toolbelt/LICENSE,1,1166
cpp/build/tools/ui/ui-src/node_modules/svelte-sonner/node_modules/runed/LICENSE,1,1166
cpp/build/tools/ui/ui-src/node_modules/runed/LICENSE,1,1166
cpp/build/tools/ui/ui-src/node_modules/mode-watcher/node_modules/svelte-toolbelt/node_modules/runed/LICENSE,1,1166
cpp/build/tools/ui/ui-src/node_modules/mode-watcher/node_modules/svelte-toolbelt/LICENSE,1,1166
cpp/build/tools/ui/ui-src/node_modules/mode-watcher/node_modules/runed/LICENSE,1,1166
cpp/build/tools/ui/ui-src/node_modules/prettier-plugin-tailwindcss/dist/licenses/prettier-plugin-svelte/LICENSE,1,1164
cpp/build/tools/ui/ui-src/node_modules/prettier-plugin-tailwindcss/dist/licenses/oxlint-tsgolint/LICENSE,1,1163
cpp/build/tools/ui/ui-src/node_modules/prettier-plugin-tailwindcss/dist/licenses/tsdown/LICENSE,1,1159
cpp/build/tools/ui/ui-src/node_modules/@adobe/css-tools/LICENSE,1,1159
cpp/build/tools/ui/ui-src/node_modules/escape-html/LICENSE,1,1157
cpp/build/tools/ui/ui-src/node_modules/http-proxy/LICENSE,1,1154
cpp/build/tools/ui/ui-src/node_modules/bytes/LICENSE,1,1153
cpp/build/tools/ui/ui-src/node_modules/@rollup/pluginutils/LICENSE,1,1151
cpp/build/tools/ui/ui-src/node_modules/@rollup/plugin-terser/LICENSE,1,1151
cpp/build/tools/ui/ui-src/node_modules/@rollup/plugin-replace/LICENSE,1,1151
cpp/build/tools/ui/ui-src/node_modules/@rollup/plugin-node-resolve/LICENSE,1,1151
cpp/build/tools/ui/ui-src/node_modules/@rollup/plugin-babel/LICENSE,1,1151
cpp/build/tools/ui/ui-src/node_modules/pngjs/LICENSE,1,1150
cpp/build/tools/ui/ui-src/node_modules/mdast-util-phrasing/license,1,1150
cpp/build/tools/ui/ui-src/node_modules/@babel/plugin-transform-regenerator/LICENSE,1,1148
cpp/build/tools/ui/ui-src/node_modules/fast-json-stable-stringify/LICENSE,1,1145
cpp/build/tools/ui/ui-src/node_modules/ast-v8-to-istanbul/node_modules/js-tokens/LICENSE,1,1145
cpp/build/tools/ui/ui-src/node_modules/workbox-build/node_modules/brace-expansion/LICENSE,1,1144
cpp/build/tools/ui/ui-src/node_modules/@typescript-eslint/typescript-estree/node_modules/brace-expansion/LICENSE,1,1144
cpp/build/tools/ui/ui-src/node_modules/prettier-plugin-svelte/LICENSE,1,1143
cpp/build/tools/ui/ui-src/node_modules/vfile/node_modules/@types/unist/LICENSE,1,1141
cpp/build/tools/ui/ui-src/node_modules/vfile-location/node_modules/@types/unist/LICENSE,1,1141
cpp/build/tools/ui/ui-src/node_modules/unist-util-visit/node_modules/@types/unist/LICENSE,1,1141
cpp/build/tools/ui/ui-src/node_modules/unist-util-visit-parents/node_modules/@types/unist/LICENSE,1,1141
cpp/build/tools/ui/ui-src/node_modules/unist-util-stringify-position/node_modules/@types/unist/LICENSE,1,1141
cpp/build/tools/ui/ui-src/node_modules/unist-util-remove-position/node_modules/@types/unist/LICENSE,1,1141
cpp/build/tools/ui/ui-src/node_modules/unist-util-position/node_modules/@types/unist/LICENSE,1,1141
cpp/build/tools/ui/ui-src/node_modules/unist-util-is/node_modules/@types/unist/LICENSE,1,1141
cpp/build/tools/ui/ui-src/node_modules/unist-util-find-after/node_modules/@types/unist/LICENSE,1,1141
cpp/build/tools/ui/ui-src/node_modules/unified/node_modules/@types/unist/LICENSE,1,1141
cpp/build/tools/ui/ui-src/node_modules/prettier-plugin-tailwindcss/dist/licenses/@types/node/LICENSE,1,1141
cpp/build/tools/ui/ui-src/node_modules/mdast-util-to-markdown/node_modules/@types/unist/LICENSE,1,1141
cpp/build/tools/ui/ui-src/node_modules/mdast-util-from-markdown/node_modules/@types/unist/LICENSE,1,1141
cpp/build/tools/ui/ui-src/node_modules/hast-util-to-text/node_modules/@types/unist/LICENSE,1,1141
cpp/build/tools/ui/ui-src/node_modules/hast-util-to-html/node_modules/@types/unist/LICENSE,1,1141
cpp/build/tools/ui/ui-src/node_modules/hast-util-from-parse5/node_modules/@types/unist/LICENSE,1,1141
cpp/build/tools/ui/ui-src/node_modules/hast-util-from-html/node_modules/@types/unist/LICENSE,1,1141
cpp/build/tools/ui/ui-src/node_modules/@types/unist/LICENSE,1,1141
cpp/build/tools/ui/ui-src/node_modules/@types/trusted-types/LICENSE,1,1141
cpp/build/tools/ui/ui-src/node_modules/@types/resolve/LICENSE,1,1141
cpp/build/tools/ui/ui-src/node_modules/@types/react/LICENSE,1,1141
cpp/build/tools/ui/ui-src/node_modules/@types/node/LICENSE,1,1141
cpp/build/tools/ui/ui-src/node_modules/@types/ms/LICENSE,1,1141
cpp/build/tools/ui/ui-src/node_modules/@types/mdx/LICENSE,1,1141
cpp/build/tools/ui/ui-src/node_modules/@types/mdast/LICENSE,1,1141
cpp/build/tools/ui/ui-src/node_modules/@types/katex/LICENSE,1,1141
cpp/build/tools/ui/ui-src/node_modules/@types/json-schema/LICENSE,1,1141
cpp/build/tools/ui/ui-src/node_modules/@types/hast/LICENSE,1,1141
cpp/build/tools/ui/ui-src/node_modules/@types/geojson/LICENSE,1,1141
cpp/build/tools/ui/ui-src/node_modules/@types/estree/LICENSE,1,1141
cpp/build/tools/ui/ui-src/node_modules/@types/deep-eql/LICENSE,1,1141
cpp/build/tools/ui/ui-src/node_modules/@types/debug/LICENSE,1,1141
cpp/build/tools/ui/ui-src/node_modules/@types/d3/LICENSE,1,1141
cpp/build/tools/ui/ui-src/node_modules/@types/d3-zoom/LICENSE,1,1141
cpp/build/tools/ui/ui-src/node_modules/@types/d3-transition/LICENSE,1,1141
cpp/build/tools/ui/ui-src/node_modules/@types/d3-timer/LICENSE,1,1141
cpp/build/tools/ui/ui-src/node_modules/@types/d3-time/LICENSE,1,1141
cpp/build/tools/ui/ui-src/node_modules/@types/d3-time-format/LICENSE,1,1141
cpp/build/tools/ui/ui-src/node_modules/@types/d3-shape/LICENSE,1,1141
cpp/build/tools/ui/ui-src/node_modules/@types/d3-selection/LICENSE,1,1141
cpp/build/tools/ui/ui-src/node_modules/@types/d3-scale/LICENSE,1,1141
cpp/build/tools/ui/ui-src/node_modules/@types/d3-scale-chromatic/LICENSE,1,1141
cpp/build/tools/ui/ui-src/node_modules/@types/d3-random/LICENSE,1,1141
cpp/build/tools/ui/ui-src/node_modules/@types/d3-quadtree/LICENSE,1,1141
cpp/build/tools/ui/ui-src/node_modules/@types/d3-polygon/LICENSE,1,1141
cpp/build/tools/ui/ui-src/node_modules/@types/d3-path/LICENSE,1,1141
cpp/build/tools/ui/ui-src/node_modules/@types/d3-interpolate/LICENSE,1,1141
cpp/build/tools/ui/ui-src/node_modules/@types/d3-hierarchy/LICENSE,1,1141
cpp/build/tools/ui/ui-src/node_modules/@types/d3-geo/LICENSE,1,1141
cpp/build/tools/ui/ui-src/node_modules/@types/d3-format/LICENSE,1,1141
cpp/build/tools/ui/ui-src/node_modules/@types/d3-force/LICENSE,1,1141
cpp/build/tools/ui/ui-src/node_modules/@types/d3-fetch/LICENSE,1,1141
cpp/build/tools/ui/ui-src/node_modules/@types/d3-ease/LICENSE,1,1141
cpp/build/tools/ui/ui-src/node_modules/@types/d3-dsv/LICENSE,1,1141
cpp/build/tools/ui/ui-src/node_modules/@types/d3-drag/LICENSE,1,1141
cpp/build/tools/ui/ui-src/node_modules/@types/d3-dispatch/LICENSE,1,1141
cpp/build/tools/ui/ui-src/node_modules/@types/d3-delaunay/LICENSE,1,1141
cpp/build/tools/ui/ui-src/node_modules/@types/d3-contour/LICENSE,1,1141
cpp/build/tools/ui/ui-src/node_modules/@types/d3-color/LICENSE,1,1141
cpp/build/tools/ui/ui-src/node_modules/@types/d3-chord/LICENSE,1,1141
cpp/build/tools/ui/ui-src/node_modules/@types/d3-brush/LICENSE,1,1141
cpp/build/tools/ui/ui-src/node_modules/@types/d3-axis/LICENSE,1,1141
cpp/build/tools/ui/ui-src/node_modules/@types/d3-array/LICENSE,1,1141
cpp/build/tools/ui/ui-src/node_modules/@types/cookie/LICENSE,1,1141
cpp/build/tools/ui/ui-src/node_modules/@types/chai/LICENSE,1,1141
cpp/build/tools/ui/ui-src/node_modules/@types/aria-query/LICENSE,1,1141
cpp/build/tools/ui/ui-src/node_modules/debug/LICENSE,1,1139
cpp/build/tools/ui/ui-src/node_modules/@sveltejs/vite-plugin-svelte/LICENSE,1,1139
cpp/build/tools/ui/ui-src/node_modules/@sveltejs/vite-plugin-svelte-inspector/LICENSE,1,1139
cpp/build/tools/ui/ui-src/node_modules/follow-redirects/LICENSE,1,1136
cpp/build/tools/ui/ui-src/node_modules/zimmerframe/LICENSE,1,1135
cpp/build/tools/ui/ui-src/node_modules/svelte-ast-print/node_modules/zimmerframe/LICENSE,1,1135
cpp/build/tools/ui/ui-src/node_modules/core-js-compat/LICENSE,1,1134
cpp/build/tools/ui/ui-src/node_modules/eslint-config-prettier/LICENSE,1,1132
cpp/build/tools/ui/ui-src/node_modules/svelte-check/LICENSE,1,1131
cpp/build/tools/ui/ui-src/node_modules/@sveltejs/load-config/LICENSE,1,1131
cpp/build/tools/ui/ui-src/node_modules/katex/src/fonts/makeBlacker,1,1129
cpp/build/tools/ui/ui-src/node_modules/send/LICENSE,1,1128
cpp/build/tools/ui/ui-src/node_modules/router/LICENSE,1,1128
cpp/build/tools/ui/ui-src/node_modules/require-from-string/license,1,1128
cpp/build/tools/ui/ui-src/node_modules/set-cookie-parser/LICENSE,1,1126
cpp/build/tools/ui/ui-src/node_modules/estree-walker/LICENSE,1,1126
cpp/build/tools/ui/ui-src/node_modules/@rollup/pluginutils/node_modules/estree-walker/LICENSE,1,1126
cpp/build/tools/ui/ui-src/node_modules/svelte-check/node_modules/chokidar/LICENSE,1,1124
cpp/build/tools/ui/ui-src/node_modules/http-server/LICENSE,1,1124
cpp/build/tools/ui/ui-src/node_modules/cookie-signature/LICENSE,1,1124
cpp/build/tools/ui/ui-src/node_modules/chokidar/LICENSE,1,1124
cpp/build/tools/ui/ui-src/node_modules/sade/license,1,1122
cpp/build/tools/ui/ui-src/node_modules/mrmime/license,1,1122
cpp/build/tools/ui/ui-src/node_modules/pdfjs-dist/wasm/LICENSE_QCMS,1,1121
cpp/build/tools/ui/ui-src/node_modules/devalue/LICENSE,1,1121
cpp/build/tools/ui/ui-src/node_modules/magicast/LICENSE,1,1120
cpp/build/tools/ui/ui-src/node_modules/prettier-plugin-tailwindcss/dist/licenses/oxlint/LICENSE,1,1119
cpp/build/tools/ui/ui-src/node_modules/oxc-parser/LICENSE,1,1119
cpp/build/tools/ui/ui-src/node_modules/object-assign/license,1,1119
cpp/build/tools/ui/ui-src/node_modules/is-obj/license,1,1119
cpp/build/tools/ui/ui-src/node_modules/finalhandler/LICENSE,1,1119
cpp/build/tools/ui/ui-src/node_modules/@oxc-project/types/LICENSE,1,1119
cpp/build/tools/ui/ui-src/node_modules/update-browserslist-db/LICENSE,1,1118
cpp/build/tools/ui/ui-src/node_modules/svelte/node_modules/esrap/LICENSE,1,1118
cpp/build/tools/ui/ui-src/node_modules/prettier-plugin-tailwindcss/dist/licenses/postcss-import/LICENSE,1,1118
cpp/build/tools/ui/ui-src/node_modules/esrap/LICENSE,1,1118
cpp/build/tools/ui/ui-src/node_modules/browserslist/LICENSE,1,1118
cpp/build/tools/ui/ui-src/node_modules/@testing-library/svelte-core/LICENSE,1,1118
cpp/build/tools/ui/ui-src/node_modules/yocto-queue/license,1,1117
cpp/build/tools/ui/ui-src/node_modules/wsl-utils/license,1,1117
cpp/build/tools/ui/ui-src/node_modules/workbox-build/node_modules/pretty-bytes/license,1,1117
cpp/build/tools/ui/ui-src/node_modules/tempy/license,1,1117
cpp/build/tools/ui/ui-src/node_modules/tagged-tag/license,1,1117
cpp/build/tools/ui/ui-src/node_modules/strip-json-comments/license,1,1117
