combo,cell,threads,window,compute,chunk_size,rep,touches,absent_handled,evictions,infeasible,pager_bytes_fetched,rc
tid0_off,1,1,0,0,134217728,3,80,48,40,0,6442450944,0
tid0_off,1,1,0,0,134217728,4,80,48,40,0,6442450944,0
tid0_off,1,1,0,0,134217728,5,80,48,40,0,6442450944,0
tid0_off,2,1,0,400000,134217728,1,80,48,40,0,6442450944,0
tid0_off,2,1,0,400000,134217728,2,80,48,40,0,6442450944,0
tid0_off,2,1,0,400000,134217728,3,80,48,40,0,6442450944,0
tid0_off,2,1,0,400000,134217728,4,80,48,40,0,6442450944,0
tid0_off,2,1,0,400000,134217728,5,80,48,40,0,6442450944,0
tid0_off,3,8,0,0,134217728,1,80,48,40,0,6442450944,0
tid0_off,3,8,0,0,134217728,2,80,48,40,0,6442450944,0
tid0_off,3,8,0,0,134217728,3,80,48,40,0,6442450944,0
tid0_off,3,8,0,0,134217728,4,80,48,40,0,6442450944,0
tid0_off,3,8,0,0,134217728,5,80,48,40,0,6442450944,0
tid0_off,4,8,1,0,134217728,1,80,48,40,0,6442450944,0
tid0_off,4,8,1,0,134217728,2,80,48,40,0,6442450944,0
tid0_off,4,8,1,0,134217728,3,80,48,40,0,6442450944,0
tid0_off,4,8,1,0,134217728,4,80,48,40,0,6442450944,0
tid0_off,4,8,1,0,134217728,5,80,48,40,0,6442450944,0
tid0_off,5,8,1,400000,134217728,1,80,87,79,0,11676942336,0
tid0_off,5,8,1,400000,134217728,2,80,83,75,0,11140071424,0
tid0_off,5,8,1,400000,134217728,3,80,91,83,0,12213813248,0
tid0_off,5,8,1,400000,134217728,4,80,91,83,0,12213813248,0
tid0_off,5,8,1,400000,134217728,5,80,90,82,0,12079595520,0
tid0_off,6,8,1,400000,8388608,1,1280,1391,1263,0,11668553728,0
tid0_off,6,8,1,400000,8388608,2,1280,1395,1267,0,11702108160,0
tid0_off,6,8,1,400000,8388608,3,1280,1388,1260,0,11643387904,0
tid0_off,6,8,1,400000,8388608,4,1280,1395,1267,0,11702108160,0
tid0_off,6,8,1,400000,8388608,5,1280,1398,1270,0,11727273984,0
allthreads_off,1,1,0,0,134217728,1,80,48,40,0,6442450944,0
allthreads_off,1,1,0,0,134217728,2,80,48,40,0,6442450944,0
allthreads_off,1,1,0,0,134217728,3,80,48,40,0,6442450944,0
allthreads_off,1,1,0,0,134217728,4,80,48,40,0,6442450944,0
allthreads_off,1,1,0,0,134217728,5,80,48,40,0,6442450944,0
allthreads_off,2,1,0,400000,134217728,1,80,48,40,0,6442450944,0
allthreads_off,2,1,0,400000,134217728,2,80,48,40,0,6442450944,0
allthreads_off,2,1,0,400000,134217728,3,80,48,40,0,6442450944,0
allthreads_off,2,1,0,400000,134217728,4,80,48,40,0,6442450944,0
allthreads_off,2,1,0,400000,134217728,5,80,48,40,0,6442450944,0
allthreads_off,3,8,0,0,134217728,1,80,48,40,0,6442450944,0
allthreads_off,3,8,0,0,134217728,2,80,48,40,0,6442450944,0
allthreads_off,3,8,0,0,134217728,3,80,48,40,0,6442450944,0
allthreads_off,3,8,0,0,134217728,4,80,48,40,0,6442450944,0
allthreads_off,3,8,0,0,134217728,5,80,48,40,0,6442450944,0
allthreads_off,4,8,1,0,134217728,1,80,50,42,0,6710886400,0
allthreads_off,4,8,1,0,134217728,2,80,50,42,0,6710886400,0
allthreads_off,4,8,1,0,134217728,3,80,50,42,0,6710886400,0
allthreads_off,4,8,1,0,134217728,4,80,50,42,0,6710886400,0
allthreads_off,4,8,1,0,134217728,5,80,50,42,0,6710886400,0
allthreads_off,5,8,1,400000,134217728,1,80,50,42,0,6710886400,0
allthreads_off,5,8,1,400000,134217728,2,80,50,42,0,6710886400,0
allthreads_off,5,8,1,400000,134217728,3,80,50,42,0,6710886400,0
allthreads_off,5,8,1,400000,134217728,4,80,50,42,0,6710886400,0
allthreads_off,5,8,1,400000,134217728,5,80,50,42,0,6710886400,0
