ratio,arm,policy,prefetch,rep,B_bytes,budget_bytes,memory_max,n_prompt,n_decoded,layer_transitions,load_s,ttft_ms,p99_inter_ms,wall_s,tokens_s,io_gen_bytes,pager_bytes_fetched,absent_handled,evictions,prefetches,infeasible,pin_broken,dedup_fetching,resident_end,memory_peak,handler_p99_ns,vmhwm_kb,achieved_mibs,hostcache_flag,rc
0.5,A,mmap,off,2,1052467200,1052467200,1052467200,16,64,2304,1.323,2090.10,2676.174,119.588,0.535,111427616768,,,,,,,,,1052467200,,1019804,889,,0
0.5,C,lru,off,2,1052467200,1052467200,1186684928,16,64,2304,0.244,1678.46,1697.771,79.427,0.806,134509412352,134509674496,2561,2545,0,0,0,475,1041793024,1141522432,134217727,2132196,,,0
0.5,D,layer_order_declared,off,2,1052467200,1052467200,1186684928,16,64,2304,0.197,1249.35,679.587,40.695,1.573,79293825024,79293829120,1614,1598,0,0,0,38,1047740416,1141116928,134217727,2134144,,,0
0.5,E,layer_order_declared,on,2,1052467200,1052467200,1186684928,16,64,2304,0.192,1070.92,1180.240,53.399,1.199,86281232384,86281236480,749,1676,942,0,0,133,1004363776,1141547008,268435455,2134272,,,0
0.5,A,mmap,off,3,1052467200,1052467200,1052467200,16,64,2304,1.104,1953.43,1820.146,103.408,0.619,110554992640,,,,,,,,,1052467200,,1019676,1020,,0
0.5,C,lru,off,3,1052467200,1052467200,1186684928,16,64,2304,0.319,2336.21,1510.618,90.485,0.707,134509412352,134509674496,2561,2545,0,0,0,476,1041793024,1141563392,134217727,2132032,,,0
0.5,D,layer_order_declared,off,3,1052467200,1052467200,1186684928,16,64,2304,0.299,1776.78,953.895,57.620,1.111,79293825024,79293829120,1614,1598,0,0,0,42,1047740416,1141477376,134217727,2134220,,,0
0.5,E,layer_order_declared,on,3,1052467200,1052467200,1186684928,16,64,2304,0.329,1380.08,909.597,51.712,1.238,86109986816,86109990912,768,1689,937,0,0,119,1029898240,1141796864,268435455,2133984,,,0
0.625,A,mmap,off,1,1315584000,1315584000,1315584000,16,64,2304,1.164,1790.50,1697.079,99.463,0.643,103082000384,,,,,,,,,1315581952,,1276012,988,,0
0.625,C,lru,off,1,1315584000,1315584000,1449801728,16,64,2304,0.269,2285.75,1589.927,83.769,0.764,134509412352,134509674496,2561,2539,0,0,0,466,1295319040,1404071936,268435455,2643540,,,0
0.625,D,layer_order_declared,off,1,1315584000,1315584000,1449801728,16,64,2304,0.326,1760.37,769.738,42.989,1.489,60615532544,60615536640,1236,1215,0,0,0,252,1276805120,1404010496,134217727,2646048,,,0
0.625,E,layer_order_declared,on,1,1315584000,1315584000,1449801728,16,64,2304,0.285,1511.09,741.109,41.294,1.550,64642994176,64691277824,632,1245,635,0,0,77,1302200320,1403207680,134217727,2645180,,,0
0.625,A,mmap,off,2,1315584000,1315584000,1315584000,16,64,2304,1.077,2089.16,1686.716,99.454,0.644,105292005376,,,,,,,,,1315581952,,1277504,1010,,0
0.625,C,lru,off,2,1315584000,1315584000,1449801728,16,64,2304,0.298,2118.46,1657.380,89.016,0.719,134509412352,134509674496,2561,2539,0,0,0,473,1295319040,1403531264,268435455,2643720,,,0
0.625,D,layer_order_declared,off,2,1315584000,1315584000,1449801728,16,64,2304,0.314,1766.79,752.857,42.395,1.510,60615532544,60615536640,1236,1215,0,0,0,252,1276805120,1404100608,134217727,2645388,,,0
0.625,E,layer_order_declared,on,2,1315584000,1315584000,1449801728,16,64,2304,0.316,1401.34,740.267,40.989,1.561,65153073152,65153077248,616,1249,655,0,0,84,1308147712,1403891712,134217727,2645624,,,0
